dataset,condition,benchmark_prompt_index,precompression_prompt_hash,precompression_input_tokens,original_input_tokens,compressed_input_tokens,t_compress_ms,t_prefill_ms,t_generation_ms,t_e2e_ms,peak_allocated_gib,peak_reserved_gib,cap_hit,finish_reason
gsm8k,baseline_ar,95,abe62cb66e5df1461afce6296f7ad7a44d60e8609470ebab6e19fa8517f3e7b8,96,96,,0.0,95.92818600003739,6469.589776000021,6565.517962000058,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,96,0111ea5bea22e38efe10023abe60e67009e6590c49cf29af0af0fb4c66c4da4b,121,121,,0.0,96.40072899992447,11344.206503000123,11440.607232000048,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,97,4ac7a0255681d9ce4991967563dfe9605f7b1701f2a960c92657bdc6662c3791,84,84,,0.0,93.4556499998962,6596.324562000063,6689.78021199996,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,98,088fd2ded8ca60c685f2793ed0bc11d99bb8e9c0991887d19d0d6ae1749b40e7,97,97,,0.0,95.60708799995155,11968.805177999911,12064.412265999863,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,99,69fa2374853f28163b9e69e08e65aa97cd6f97cefb64d947abbb7dd3643dd261,80,80,,0.0,92.34094299995377,6075.226570000041,6167.5675129999945,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,100,c1a3eb79bdc0fa0f03aac6e2f443af1849dbbf5db541fc7738e21de2c9741f3a,95,95,,0.0,95.06419400008781,4718.459334999807,4813.523528999895,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,dflash_r1,1,a8b7d7a0cf3bf7e0ea49e1f9b0e45c6f6290a603b52cf907b9059da703961fcb,122,122,,0.0,102.01970999992227,4402.046452999912,4504.066162999834,3.4983716011047363,3.7578125,True,length_cap
gsm8k,dflash_r1,2,1b8742ee72c998497867fcb520adb30b07cc0c5eee7a1627ad9340e863677558,78,78,,0.0,113.56860299997606,3550.0367729998743,3663.6053759998504,3.498371124267578,3.7578125,False,eos_or_stop
gsm8k,dflash_r1,3,efb4f97ab4b99f8b5b712bf5742e1164c599214597c50fd834e49b934e9fb2f1,91,91,,0.0,102.94441999985793,3830.9196949999205,3933.8641149997784,3.498371124267578,3.7578125,False,eos_or_stop
gsm8k,dflash_r1,4,91785bccf11d00150cfa7ab2f780e4e8e3b764526eb3843e2a453202ea0634b4,123,123,,0.0,108.91685199999301,4403.017638999927,4511.93449099992,3.4983716011047363,3.7578125,False,eos_or_stop
